"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-99.A",3036,6716,5519,9814,10808,13542,19198,18731,29215,33718,41792,53062,49938,53021,59455,68049,72503,76391,98040,120313
"Pennsylvania : nuclear","thousand megawatthours","ELEC.GEN.NUC-PA-99.A",73731,76089,74361,77459,76289,75298,77376,78658,77328,77828,76147,75174,78714,78715,80517,82924,83200,83477,83230,76521
"Pennsylvania : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-PA-99.A",1650,2211,3346,3155,2232,2844,2236,2549,2683,2332,3217,2242,2525,2641,2604,2375,3123,4262,3503,3547
"Pennsylvania : other renewables","thousand megawatthours","ELEC.GEN.AOR-PA-99.A",1896,2062,2098,2276,2329,2473,2546,2804,3352,4245,4099,4459,5754,6080,5821,5942,6098,5894,5322,5937
"Pennsylvania : wind","thousand megawatthours","ELEC.GEN.WND-PA-99.A",11,58,112,306,284,361,470,729,1075,1854,1794,2129,3352,3565,3353,3476,3591,3567,3250,3873
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A","--","--","--","--","--","--","--",0,4,8,23,32,63,62,64,75,70,62,83,186
"Pennsylvania : geothermal","thousand megawatthours","ELEC.GEN.GEO-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania : biomass",,"ELEC.GEN.BIO-PA-99.A",,,,,,,,,,,,,,,,,,,,
"Pennsylvania : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-PA-99.A",597,766,735,680,687,683,620,658,694,675,628,534,492,549,470,508,522,448,315,306
"Pennsylvania : other biomass","thousand megawatthours","ELEC.GEN.WAS-PA-99.A",1288,1238,1251,1289,1358,1429,1457,1416,1579,1708,1653,1765,1847,1904,1934,1883,1916,1817,1673,1572
"Pennsylvania : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-PA-99.A",-615,-658,-739,-686,-711,-698,-723,-354,-731,-708,-494,-443,-539,-579,-509,-562,-605,-659,-566,-594
"Pennsylvania : all solar",,"ELEC.GEN.TSN-PA-99.A",,,,,,,,,,,,,,,,,,,,
"Pennsylvania : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-PA-99.A","--","--","--","--","--","--","--",0,4,8,23,32,63,62,64,75,70,62,83,186
"East North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Illinois",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Illinois : all fuels (utility-scale)",,"ELEC.GEN.ALL-IL-99.A",,,,,,,,,,,,,,,,,,,,
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-99.A",79551,86685,87981,94402,92265,91649,95265,96644,89967,93611,90013,80827,87927,87282,73774,59338,57980,59642,48788,31014
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-99.A",1491,223,1121,659,227,119,132,143,113,110,84,71,72,87,56,70,51,53,44,30
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-99.A",15,0,0,104,101,16,0,0,0,0,"--","--","--",0,0,0,0,0,0,0
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-99.A",4606,9079,3902,3393,7114,5279,7542,4260,4495,5724,5956,11189,6828,5465,10864,17485,15016,17241,21346,23933
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-99.A",92358,90860,94733,92047,93263,94154,95729,95152,95474,96190,95823,96401,97131,97858,97282,98607,97191,98102,98735,100246
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-99.A",144,129,139,154,129,173,154,139,136,119,140,111,120,132,124,133,125,147,124,137
"Illinois : other renewables","thousand megawatthours","ELEC.GEN.AOR-IL-99.A",679,724,819,822,783,849,1285,3035,3530,5138,6865,8373,10285,10699,11323,11179,12794,12391,14934,17659
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-99.A","--","--",18,78,141,255,664,2337,2820,4454,6213,7727,9625,10083,10747,10663,12268,11899,14460,17111
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.A","--","--","--","--","--","--","--","--",0,14,14,31,52,50,49,49,52,66,62,93
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : biomass",,"ELEC.GEN.BIO-IL-99.A",,,,,,,,,,,,,,,,,,,,
"Illinois : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-IL-99.A","--","--","--","--","--","--","--",1,0,0,1,0,0,0,0,0,0,0,0,0
"Illinois : other biomass","thousand megawatthours","ELEC.GEN.WAS-IL-99.A",679,724,801,744,642,594,620,697,710,670,638,615,608,566,527,467,474,426,412,455
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : all solar",,"ELEC.GEN.TSN-IL-99.A",,,,,,,,,,,,,,,,,,,,
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.A","--","--","--","--","--","--","--","--",0,14,14,31,52,50,49,49,52,66,62,93
"Indiana",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Indiana : all fuels (utility-scale)",,"ELEC.GEN.ALL-IN-99.A",,,,,,,,,,,,,,,,,,,,
"Indiana : coal","thousand megawatthours","ELEC.GEN.COW-IN-99.A",116067,117660,117756,120671,122833,123645,122803,122036,108312,112328,104153,92461,92672,97549,78231,72533,72385,77455,60762,47775
"Indiana : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IN-99.A",324,313,224,171,162,148,170,178,147,155,172,114,139,164,159,113,125,131,127,114
"Indiana : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IN-99.A",167,304,231,254,99,0,0,0,10,0,1161,831,1433,1199,1179,497,0,0,0,0
"Indiana : natural gas","thousand megawatthours","ELEC.GEN.NG-IN-99.A",2332,3782,3049,2438,3615,2682,4012,3636,3830,6475,10064,14471,9032,9572,16263,19996,17976,26817,32042,31979
"Indiana : nuclear","thousand megawatthours","ELEC.GEN.NUC-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IN-99.A",571,411,424,444,438,490,450,437,503,454,409,434,387,371,381,426,306,223,256,262
"Indiana : other renewables","thousand megawatthours","ELEC.GEN.AOR-IN-99.A",115,116,119,137,68,220,231,511,1706,3246,3621,3546,3888,3989,5118,5558,5840,6188,7001,7432
"Indiana : wind","thousand megawatthours","ELEC.GEN.WND-IN-99.A","--","--","--","--","--","--","--",238,1403,2934,3285,3210,3481,3496,4515,4899,5089,5437,6216,6541
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","NM",31,102,156,226,278,291,323,430
"Indiana : geothermal","thousand megawatthours","ELEC.GEN.GEO-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : biomass",,"ELEC.GEN.BIO-IN-99.A",,,,,,,,,,,,,,,,,,,,
"Indiana : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0
"Indiana : other biomass","thousand megawatthours","ELEC.GEN.WAS-IN-99.A",115,116,119,137,68,220,231,273,303,312,336,336,376,391,446,433,473,460,463,461
"Indiana : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : all solar",,"ELEC.GEN.TSN-IN-99.A",,,,,,,,,,,,,,,,,,,,
"Indiana : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IN-99.A","--","--","--","--","--","--","--","--","--","--","--","NM",31,102,156,226,278,291,323,430
"Michigan",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Michigan : all fuels (utility-scale)",,"ELEC.GEN.ALL-MI-99.A",,,,,,,,,,,,,,,,,,,,
"Michigan : coal","thousand megawatthours","ELEC.GEN.COW-MI-99.A",68263,66700,67777,68606,70323,67780,70811,69855,66848,65604,58948,53136,56291,52900,52884,40527,42021,42331,37341,28003
"Michigan : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MI-99.A",749,1069,878,742,803,311,457,286,216,190,179,138,130,140,109,120,110,117,94,88
"Michigan : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MI-99.A",1,35,186,155,74,91,242,171,183,193,163,187,403,911,718,699,1007,1096,822,847
"Michigan : natural gas","thousand megawatthours","ELEC.GEN.NG-MI-99.A",13174,15853,11375,14548,13764,11410,13141,9602,8420,12249,12982,21748,12341,12523,20045,29295,26131,30987,34430,34439
"Michigan : nuclear","thousand megawatthours","ELEC.GEN.NUC-MI-99.A",26711,31087,27954,30562,32872,29066,31517,31484,21851,29625,32889,28020,28921,31246,29334,31552,32381,30479,32909,30333
"Michigan : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MI-99.A",1562,1669,1386,1540,1462,1520,1270,1364,1372,1251,1357,1207,1419,1600,1499,1564,1679,1569,1650,1784
"Michigan : other renewables","thousand megawatthours","ELEC.GEN.AOR-MI-99.A",2362,2220,2498,2558,2494,2443,2417,2591,2623,2832,2962,3785,5514,6674,7283,7200,7749,8106,8283,9105
"Michigan : wind","thousand megawatthours","ELEC.GEN.WND-MI-99.A",0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5191,5457,5826,6759
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,9,63,118,143,170
"Michigan : geothermal","thousand megawatthours","ELEC.GEN.GEO-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan : biomass",,"ELEC.GEN.BIO-MI-99.A",,,,,,,,,,,,,,,,,,,,
"Michigan : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MI-99.A",1700,1475,1768,1867,1776,1704,1692,1710,1489,1670,1679,1698,1727,1751,1447,1522,1508,1574,1399,1253
"Michigan : other biomass","thousand megawatthours","ELEC.GEN.WAS-MI-99.A",661,745,727,690,717,737,722,740,834,802,827,956,988,1055,1038,973,986,957,915,923
"Michigan : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MI-99.A",-1127,-1036,-1017,-1113,-1106,-1039,-1129,-916,-857,-1023,-945,-773,-871,-701,-481,-752,-675,-698,-696,-845
"Michigan : all solar",,"ELEC.GEN.TSN-MI-99.A",,,,,,,,,,,,,,,,,,,,
"Michigan : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,9,63,118,143,170
"Ohio",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Ohio : all fuels (utility-scale)",,"ELEC.GEN.ALL-OH-99.A",,,,,,,,,,,,,,,,,,,,
"Ohio : coal","thousand megawatthours","ELEC.GEN.COW-OH-99.A",124213,132953,134769,128157,136826,133400,133131,130694,113712,117828,105337,85589,94564,89879,71710,68775,68344,58727,46765,45006
"Ohio : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OH-99.A",417,389,410,353,360,308,313,290,262,298,313,258,227,307,220,217,206,219,164,113
"Ohio : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OH-99.A","--","--","--",1035,1030,1047,835,1147,1049,1144,1075,1023,1159,939,1097,965,1035,1097,680,921
"Ohio : natural gas","thousand megawatthours","ELEC.GEN.NG-OH-99.A",924,1767,1794,1391,2696,2379,3975,2484,4650,7128,12338,22665,21694,23636,28034,28942,28800,44215,51325,52630
"Ohio : nuclear","thousand megawatthours","ELEC.GEN.NUC-OH-99.A",15464,10865,8475,15950,14803,16847,15764,17514,15206,15805,14890,17087,16121,16284,17377,16817,17688,18315,17011,18219
"Ohio : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-OH-99.A",511,488,511,730,516,632,410,386,528,429,384,414,549,478,457,500,277,244,403,412
"Ohio : other renewables","thousand megawatthours","ELEC.GEN.AOR-OH-99.A",431,151,441,428,446,459,435,623,633,700,936,1739,2009,2026,2058,2033,2421,2576,2870,3185
"Ohio : wind","thousand megawatthours","ELEC.GEN.WND-OH-99.A","--","--","--","--",13,14,15,15,14,13,198,985,1146,1153,1203,1245,1589,1750,2043,2299
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-99.A","--","--","--","--","--","--","--","--","--",13,15,37,46,54,56,66,105,119,142,201
"Ohio : geothermal","thousand megawatthours","ELEC.GEN.GEO-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : biomass",,"ELEC.GEN.BIO-OH-99.A",,,,,,,,,,,,,,,,,,,,
"Ohio : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-OH-99.A",403,126,407,398,406,410,399,418,410,399,390,351,343,348,326,272,258,234,241,246
"Ohio : other biomass","thousand megawatthours","ELEC.GEN.WAS-OH-99.A",28,25,33,30,27,34,21,190,210,276,332,366,474,471,473,450,469,473,444,440
"Ohio : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : all solar",,"ELEC.GEN.TSN-OH-99.A",,,,,,,,,,,,,,,,,,,,
"Ohio : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-OH-99.A","--","--","--","--","--","--","--","--","--",13,15,37,46,54,56,66,105,119,142,201
"Wisconsin",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Wisconsin : all fuels (utility-scale)",,"ELEC.GEN.ALL-WI-99.A",,,,,,,,,,,,,,,,,,,,
"Wisconsin : coal","thousand megawatthours","ELEC.GEN.COW-WI-99.A",41253,39807,41717,42148,41729,40116,40028,41706,37280,40169,39938,32758,40645,37449,37181,33363,35852,33322,26335,23775
"Wisconsin : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WI-99.A",159,109,143,161,164,136,160,96,41,35,36,39,29,52,27,27,33,36,53,40
"Wisconsin : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WI-99.A",289,313,330,634,583,741,854,835,672,684,547,279,274,267,181,120,111,101,90,86
"Wisconsin : natural gas","thousand megawatthours","ELEC.GEN.NG-WI-99.A",2234,2076,2478,2405,6387,5358,6489,5244,5484,5497,6243,11542,8102,8054,13399,15473,13656,16799,20334,21197
"Wisconsin : nuclear","thousand megawatthours","ELEC.GEN.NUC-WI-99.A",11507,12449,12215,11888,9921,12234,12910,12155,12683,13281,11560,14300,11675,9447,10008,10151,9649,10129,10030,9771
"Wisconsin : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WI-99.A",2056,2515,1843,1981,1740,1679,1516,1616,1394,2112,2147,1530,1979,2472,2341,2795,2657,2392,2641,2877
"Wisconsin : other renewables","thousand megawatthours","ELEC.GEN.AOR-WI-99.A",1102,1016,1226,1114,1182,1266,1330,1754,2340,2474,2765,3223,3192,3262,3162,2988,3122,3114,3248,3149
"Wisconsin : wind","thousand megawatthours","ELEC.GEN.WND-WI-99.A",72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1641,1638,1878,1781
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,3,21,40,38,96
"Wisconsin : geothermal","thousand megawatthours","ELEC.GEN.GEO-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : biomass",,"ELEC.GEN.BIO-WI-99.A",,,,,,,,,,,,,,,,,,,,
"Wisconsin : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-WI-99.A",705,645,757,605,740,774,785,775,769,878,1032,1149,1150,1101,1000,880,878,883,816,773
"Wisconsin : other biomass","thousand megawatthours","ELEC.GEN.WAS-WI-99.A",325,324,371,405,349,390,435,492,519,508,545,517,484,542,571,590,582,554,516,500
"Wisconsin : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : all solar",,"ELEC.GEN.TSN-WI-99.A",,,,,,,,,,,,,,,,,,,,
"Wisconsin : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,3,21,40,38,96
"West North Central",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"West North Central : all fuels (utility-scale)",,"ELEC.GEN.ALL-WNC-99.A",,,,,,,,,,,,,,,,,,,,
"West North Central : coal","thousand megawatthours","ELEC.GEN.COW-WNC-99.A",216729,224923,234610,231031,233193,231084,232959,234513,226707,232041,232119,214964,219787,217856,197842,182383,185041,189023,161119,141960
"West North Central : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-WNC-99.A",1090,779,1417,1193,1483,371,677,378,295,348,311,292,295,349,289,392,299,323,353,314
"West North Central : petroleum coke","thousand megawatthours","ELEC.GEN.PC-WNC-99.A",1020,1040,795,832,685,510,457,309,140,141,91,17,72,85,46,39,43,44,77,74
"West North Central : natural gas","thousand megawatthours","ELEC.GEN.NG-WNC-99.A",8273,7987,6574,6397,11274,11561,15523,13442,10524,13156,12000,19062,15104,11844,17472,22475,20587,29103,35005,33219
"West North Central : nuclear","thousand megawatthours","ELEC.GEN.NUC-WNC-99.A",43099,45812,43988,46429,43027,46748,48404,45634,45523,47535,40797,41096,38429,44796,46677,45590,44983,44952,44729,42095
"West North Central : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-WNC-99.A",8695,10169,9248,9233,8193,7501,7401,8196,9951,11936,13677,11767,9450,11328,12053,10998,12829,13662,16523,17835
"West North Central : other renewables","thousand megawatthours","ELEC.GEN.AOR-WNC-99.A",2645,3307,3790,3777,5378,7365,9085,14236,21648,26420,33325,39730,46412,51532,54218,63417,75665,76235,85545,104488
"West North Central : wind","thousand megawatthours","ELEC.GEN.WND-WNC-99.A",1428,2305,2467,2632,4130,6144,7536,12454,19637,24182,31288,37561,44436,49249,51867,60923,72542,72907,82465,100825
"West North Central : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WNC-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,11,21,49,680,1181,1409,2012
"West North Central : geothermal","thousand megawatthours","ELEC.GEN.GEO-WNC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West North Central : biomass",,"ELEC.GEN.BIO-WNC-99.A",,,,,,,,,,,,,,,,,,,,
"West North Central : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-WNC-99.A",575,378,657,653,656,590,728,727,799,933,748,839,1043,1183,1208,1266,1354,1166,894,882
"West North Central : other biomass","thousand megawatthours","ELEC.GEN.WAS-WNC-99.A",642,624,666,493,591,631,821,1055,1212,1306,1289,1330,930,1088,1121,1179,1089,980,778,769
"West North Central : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-WNC-99.A",-266,-159,-254,115,86,48,383,545,567,888,114,33,296,19,348,179,100,47,337,-22
"West North Central : all solar",,"ELEC.GEN.TSN-WNC-99.A",,,,,,,,,,,,,,,,,,,,
"West North Central : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-WNC-99.A","--","--","--","--","--","--","--","--","--","--","--",0,3,11,21,49,680,1181,1409,2012
"Iowa",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Iowa : all fuels (utility-scale)",,"ELEC.GEN.ALL-IA-99.A",,,,,,,,,,,,,,,,,,,,
"Iowa : coal","thousand megawatthours","ELEC.GEN.COW-IA-99.A",34665,35372,35820,35272,34252,34405,37986,40410,37351,41283,38229,35331,33302,33733,29811,25198,25358,28553,22159,14156
"Iowa : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IA-99.A",99,58,93,75,143,107,179,80,55,80,69,89,69,59,64,239,104,67,63,44
"Iowa : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IA-99.A",4,6,8,33,7,102,133,81,30,75,72,18,72,85,46,39,43,44,77,74
"Iowa : natural gas","thousand megawatthours","ELEC.GEN.NG-IA-99.A",593,555,313,825,2481,2400,3091,2163,1184,1312,991,1941,1430,1373,2398,2961,4567,7340,7782,6958
"Iowa : nuclear","thousand megawatthours","ELEC.GEN.NUC-IA-99.A",3853,4574,3988,4929,4538,5095,4519,5282,4679,4451,5215,4347,5321,4152,5243,4703,5214,4895,5236,2905
"Iowa : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IA-99.A",845,946,789,946,960,909,962,819,971,948,925,766,749,879,960,917,1034,925,796,861
"Iowa : other renewables","thousand megawatthours","ELEC.GEN.AOR-IA-99.A",592,1017,1096,1156,1764,2455,2908,4251,7589,9360,10870,14183,15727,16573,18131,20324,21587,21557,26536,34378
"Iowa : wind","thousand megawatthours","ELEC.GEN.WND-IA-99.A",488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,21373,21334,26305,34149
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,5,11,15,25
"Iowa : geothermal","thousand megawatthours","ELEC.GEN.GEO-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : biomass",,"ELEC.GEN.BIO-IA-99.A",,,,,,,,,,,,,,,,,,,,
"Iowa : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-IA-99.A","--",0,"--","--","--","--",0,0,0,"--","--","--",0,2,2,1,2,2,12,8
"Iowa : other biomass","thousand megawatthours","ELEC.GEN.WAS-IA-99.A",104,98,114,106,117,137,151,167,168,190,161,151,159,264,256,251,208,209,203,196
"Iowa : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Iowa : all solar",,"ELEC.GEN.TSN-IA-99.A",,,,,,,,,,,,,,,,,,,,
"Iowa : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,5,11,15,25
"Kansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Kansas : all fuels (utility-scale)",,"ELEC.GEN.ALL-KS-99.A",,,,,,,,,,,,,,,,,,,,
"Kansas : coal","thousand megawatthours","ELEC.GEN.COW-KS-99.A",31768,35369,35110,34593,34481,33281,36250,34003,32243,32505,31656,27983,29767,28752,24593,23096,19390,20474,17315,16960
"Kansas : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-KS-99.A",617,509,964,854,986,51,43,43,39,45,38,35,51,45,49,28,55,52,78,83
"Kansas : petroleum coke","thousand megawatthours","ELEC.GEN.PC-KS-99.A","--","--","--","--","--","--",164,87,81,58,19,-0,0,0,0,"--","--","--","--","--"
"Kansas : natural gas","thousand megawatthours","ELEC.GEN.NG-KS-99.A",1951,1789,1226,832,1137,1839,2133,2230,2669,2287,2535,2860,1980,1453,1174,2027,2147,3006,3024,3044
"Kansas : nuclear","thousand megawatthours","ELEC.GEN.NUC-KS-99.A",10347,9042,8890,10133,8821,9350,10369,8497,8769,9556,7319,8285,7168,8558,8630,8246,10648,9168,9248,10582
"Kansas : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-KS-99.A",26,13,12,13,11,10,11,11,13,13,15,10,15,16,19,31,29,26,20,32
"Kansas : other renewables","thousand megawatthours","ELEC.GEN.AOR-KS-99.A",40,467,366,359,426,992,1153,1759,2863,3459,3779,5253,9491,10904,11062,14172,18661,18979,21198,23636
"Kansas : wind","thousand megawatthours","ELEC.GEN.WND-KS-99.A",40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18598,18908,21124,23513
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,5,8,11,59
"Kansas : geothermal","thousand megawatthours","ELEC.GEN.GEO-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : biomass",,"ELEC.GEN.BIO-KS-99.A",,,,,,,,,,,,,,,,,,,,
"Kansas : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : other biomass","thousand megawatthours","ELEC.GEN.WAS-KS-99.A","--","--","--","--","--","--","--","--",0,54,59,57,58,59,62,59,57,64,63,64
"Kansas : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Kansas : all solar",,"ELEC.GEN.TSN-KS-99.A",,,,,,,,,,,,,,,,,,,,
"Kansas : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,5,8,11,59
"Minnesota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Minnesota : all fuels (utility-scale)",,"ELEC.GEN.ALL-MN-99.A",,,,,,,,,,,,,,,,,,,,
"Minnesota : coal","thousand megawatthours","ELEC.GEN.COW-MN-99.A",31819,33920,35656,34000,32950,33070,32190,31755,29327,28083,28259,22723,23518,27957,24697,23206,22782,23455,17805,14059
"Minnesota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MN-99.A",121,51,135,114,164,86,244,92,66,31,38,30,27,63,28,32,35,47,51,43
"Minnesota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MN-99.A",504,602,738,669,612,408,161,140,-1,0,0,0,0,0,"--","--","--","--","--","--"
"Minnesota : natural gas","thousand megawatthours","ELEC.GEN.NG-MN-99.A",1200,1592,1844,1458,2707,2561,3842,2866,2846,4341,3351,7088,6301,3870,7389,8928,6708,8555,12607,11115
"Minnesota : nuclear","thousand megawatthours","ELEC.GEN.NUC-MN-99.A",11789,13685,13414,13296,12835,13183,13103,12997,12393,13478,11959,11944,10708,12707,12039,13861,13904,14601,14105,14677
"Minnesota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MN-99.A",832,809,815,738,775,572,654,727,809,840,746,561,511,548,849,1209,1258,1054,1056,1149
"Minnesota : other renewables","thousand megawatthours","ELEC.GEN.AOR-MN-99.A",1977,1787,2121,1797,2652,3059,3933,5851,6737,6640,8406,10015,9871,11457,11588,11836,13666,13400,13402,15180
