"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=fffh&geo=10fvvvvvvvvvo&sec=g&linechart=&columnchart=ELEC.GEN.COW-CT-99.A&map=ELEC.GEN.COW-CT-99.A&freq=A&start=2001&end=2020&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 23 2021 19:22:06 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Maine : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ME-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",5,12,7,36
"Massachusetts",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,
"Massachusetts : all fuels (utility-scale)",,"ELEC.GEN.ALL-MA-99.A",,,,,,,,,,,,,,,,,,,,
"Massachusetts : coal","thousand megawatthours","ELEC.GEN.COW-MA-99.A",11051,11503,10896,10526,12034,11138,12024,10629,9028,8306,4059,2137,3959,2795,2253,1875,1136,0,0,0
"Massachusetts : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MA-99.A",8512,6800,7459,7533,7026,2328,3052,2108,897,296,197,150,390,1005,777,422,266,461,104,36
"Massachusetts : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : natural gas","thousand megawatthours","ELEC.GEN.NG-MA-99.A",11697,15869,22424,20972,20369,23307,24925,21514,20988,25582,25940,24672,21257,18498,21007,21144,22153,18386,15407,13958
"Massachusetts : nuclear","thousand megawatthours","ELEC.GEN.NUC-MA-99.A",5144,5769,4978,5939,5475,5830,5120,5869,5396,5918,5085,5860,4331,5769,4995,5414,5047,4442,2177,"--"
"Massachusetts : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MA-99.A",703,875,1075,998,1042,1513,797,1156,1201,996,1149,912,992,902,827,713,1037,1134,976,991
"Massachusetts : other renewables","thousand megawatthours","ELEC.GEN.AOR-MA-99.A",1313,1272,1253,1230,1258,1279,1240,1255,1229,1274,1207,1277,1448,1730,1833,2030,2181,2369,2379,2852
"Massachusetts : wind","thousand megawatthours","ELEC.GEN.WND-MA-99.A","--",0,"--","--","--","--","--",4,6,22,61,90,205,225,215,216,233,221,211,268
"Massachusetts : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MA-99.A","--","--","--","--","--","--","--",0,0,1,5,30,106,306,451,609,788,978,1164,1565
"Massachusetts : geothermal","thousand megawatthours","ELEC.GEN.GEO-MA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Massachusetts : biomass",,"ELEC.GEN.BIO-MA-99.A",,,,,,,,,,,,,,,,,,,,
"Massachusetts : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-MA-99.A",130,107,120,114,120,125,119,123,115,125,101,101,77,125,120,129,131,107,92,95
